broad_id	compound	moa	target	n_mito_low	n_mito_high	median_lfc_mito_low	median_lfc_mito_high	delta_lfc_low_minus_high	wilcox_p	fdr	target_text	pathway_relevance
BRD-K79145749-003-02-2	dibenzepine	norepinephrine reputake inhibitor		14	15	-0.0640802930877	-0.0592339749965	-0.004846318091199994	0.9131160800723744	1.0	norepinephrine reputake inhibitor 	other
BRD-K59433843-001-01-7	ICI-192605	thromboxane receptor antagonist	TBXA2R	15	14	-0.0247531260504	-0.020264038049665	-0.004489088000735001	0.8443001476220315	1.0	thromboxane receptor antagonist tbxa2r	other
BRD-A90515964-001-16-5	guaifenesin	expectorant		15	15	0.230739025001	0.235085730967	-0.0043467059660000085	0.5614474146848649	1.0	expectorant 	other
BRD-K28210218-236-08-1	cephalothin	bacterial cell wall synthesis inhibitor		15	15	0.262904028961	0.26722868088	-0.004324651919	0.8034625743147712	1.0	bacterial cell wall synthesis inhibitor 	other
BRD-A77577770-003-08-9	palmitoylcarnitine	protein kinase inhibitor		15	15	0.0320315598171	0.0362962092924	-0.004264649475300003	0.9338864180775845	1.0	protein kinase inhibitor 	other
BRD-K68264559-045-02-4	brimonidine	adrenergic receptor agonist	ADRA2A, ADRA2B, ADRA2C	15	15	0.182956644807	0.187177401019	-0.004220756211999993	0.9669147771731937	1.0	adrenergic receptor agonist adra2a, adra2b, adra2c	other
BRD-K10177585-003-02-4	PSB-11	adenosine receptor antagonist	ADORA1, ADORA2A, ADORA3	15	15	0.279320394365	0.283515893138	-0.004195498773000017	0.7089232340537643	1.0	adenosine receptor antagonist adora1, adora2a, adora3	other
BRD-K51544265-001-04-2	cabozantinib	RET tyrosine kinase inhibitor, VEGFR inhibitor	KDR, MET	14	15	-0.1290725596459	-0.124954103866	-0.004118455779899999	1.0	1.0	ret tyrosine kinase inhibitor, vegfr inhibitor kdr, met	other
BRD-K24601397-001-01-1	phlorizin	sodium/glucose cotransporter inhibitor	SLC5A1, SLC5A11, SLC5A2, SLC5A3	15	15	0.126567995777	0.130675786369	-0.004107790592000005	0.7400217511938185	1.0	sodium/glucose cotransporter inhibitor slc5a1, slc5a11, slc5a2, slc5a3	other
BRD-K28971625-003-01-4	ZD-7114	adrenergic receptor agonist	ADRB3	14	15	0.0736640691906	0.0777647632565	-0.004100694065899996	0.8443001476220315	1.0	adrenergic receptor agonist adrb3	other
BRD-K49659468-436-01-2	TMC647055	RNA polymerase inhibitor		16	15	0.1587903232395	0.16284220905	-0.0040518858105000055	0.9212802540736247	1.0	rna polymerase inhibitor 	other
BRD-K33610132-001-02-9	rociletinib	EGFR inhibitor	EGFR	15	14	0.122914864753	0.12689662568495	-0.003981760931950004	0.7106595685403921	1.0	egfr inhibitor egfr	other
