broad_id	compound	moa	target	n_mito_low	n_mito_high	median_lfc_mito_low	median_lfc_mito_high	delta_lfc_low_minus_high	wilcox_p	fdr	target_text	pathway_relevance	test_family
BRD-A32673558-003-03-9	aceclidine	acetylcholine receptor agonist	CHRM1, CHRM2, CHRM3, CHRM4, CHRM5	15	15	0.177467138656	-0.218081212951	0.3955483516069999	0.1710692310563518	1.0	acetylcholine receptor agonist chrm1, chrm2, chrm3, chrm4, chrm5	other	BH across all 4,686 tested PRISM compounds
BRD-K83988098-001-02-0	alvespimycin	HSP inhibitor	HSP90AA1	14	15	-2.463386272695	-2.86164312074	0.3982568480450004	0.615737058040257	1.0	hsp inhibitor hsp90aa1	other	BH across all 4,686 tested PRISM compounds
BRD-K73529671-001-04-5	troxerutin	antioxidant		15	15	0.130543090922	-0.268306315051	0.398849405973	0.1584646059982035	1.0	antioxidant 	other	BH across all 4,686 tested PRISM compounds
BRD-K78809024-001-05-7	SB-590885	RAF inhibitor	BRAF	15	15	0.131264806797	-0.267935609999	0.399200416796	0.0512394191927443	1.0	raf inhibitor braf	other	BH across all 4,686 tested PRISM compounds
BRD-K20545304-001-01-6	bardoxolone	nuclear factor erythroid derived, like (NRF2) activator	NOS2, PPARG	15	14	-0.309763755	-0.7091345592375	0.3993708042375	0.7766531265771661	1.0	nuclear factor erythroid derived, like (nrf2) activator nos2, pparg	other	BH across all 4,686 tested PRISM compounds
BRD-K19085898-001-01-8	darapladib	phospholipase inhibitor	PLA2G7	15	14	0.0811583499461	-0.3184787165785	0.3996370665246	0.1979251021111571	1.0	phospholipase inhibitor pla2g7	other	BH across all 4,686 tested PRISM compounds
BRD-A59709458-001-01-8	PHCCC	glutamate receptor agonist	GRM1, GRM4	15	15	0.0125154707947	-0.387645870768	0.4001613415627	0.0380882842062921	1.0	glutamate receptor agonist grm1, grm4	other	BH across all 4,686 tested PRISM compounds
BRD-K42497885-001-01-1	satraplatin	DNA alkylating agent		14	15	-0.8999710073085	-1.30036655951	0.4003955522015	0.4194324996066613	1.0	dna alkylating agent 	other	BH across all 4,686 tested PRISM compounds
BRD-K08681769-323-03-7	ibandronate	bone resorption inhibitor	FDPS	14	13	-0.015675794568	-0.416548185648	0.40087239108	0.0617262423351409	1.0	bone resorption inhibitor fdps	other	BH across all 4,686 tested PRISM compounds
BRD-K05104363-001-10-0	PD-184352	MEK inhibitor	MAP2K1, MAP3K1, MAP3K2	14	13	-0.8999343111555	-1.30254132193	0.4026070107744999	0.2968036252970697	1.0	mek inhibitor map2k1, map3k1, map3k2	other	BH across all 4,686 tested PRISM compounds
BRD-K30431096-004-01-3	domiphen			14	15	0.1700721692645	-0.232908941439	0.4029811107035	0.1560692634316435	1.0	 	other	BH across all 4,686 tested PRISM compounds
BRD-A26032986-050-02-1	zaldaride	calmodulin antagonist	CALM1	15	15	-0.165199543851	-0.568493514104	0.4032939702529999	0.1844100692216365	1.0	calmodulin antagonist calm1	other	BH across all 4,686 tested PRISM compounds
BRD-K24666289-001-04-9	copanlisib	PI3K inhibitor	PIK3CA, PIK3CB, PIK3CD, PIK3CG	16	15	-1.86926531366	-2.27575556597	0.4064902523099998	0.4646101538860959	1.0	pi3k inhibitor pik3ca, pik3cb, pik3cd, pik3cg	prespecified_pathway_related	BH across all 4,686 tested PRISM compounds
BRD-K53581288-001-02-9	baricitinib	JAK inhibitor	JAK1, JAK2	16	15	-0.7934499989870001	-1.20073642885	0.4072864298629999	0.0604355825589931	1.0	jak inhibitor jak1, jak2	other	BH across all 4,686 tested PRISM compounds
BRD-K43471985-001-05-5	OTX015	bromodomain inhibitor	BRD2, BRD3, BRD4	15	15	0.160790567837	-0.248125553893	0.40891612173	0.1353821100456067	1.0	bromodomain inhibitor brd2, brd3, brd4	other	BH across all 4,686 tested PRISM compounds
BRD-K99383816-001-03-5	ftorafur	thymidylate synthase inhibitor	TYMS	14	13	0.0590980675195449	-0.353772484426	0.412870551945545	0.512401349804485	1.0	thymidylate synthase inhibitor tyms	other	BH across all 4,686 tested PRISM compounds
BRD-K53913732-001-05-9	SB-408124	orexin receptor antagonist	HCRTR1, HCRTR2	15	14	0.0750455804398	-0.339845638427	0.4148912188668	0.0055821436090649	1.0	orexin receptor antagonist hcrtr1, hcrtr2	other	BH across all 4,686 tested PRISM compounds
BRD-K77008974-001-03-2	WYE-354	mTOR inhibitor	MTOR	15	14	0.442242278486	0.0256923094185749	0.416549969067425	0.615737058040257	1.0	mtor inhibitor mtor	prespecified_pathway_related	BH across all 4,686 tested PRISM compounds
BRD-K12251893-065-04-7	vincristine	tubulin polymerization inhibitor	TUBA4A, TUBB	15	15	-1.22869760762	-1.64527370763	0.4165761000099999	0.9009714934164412	1.0	tubulin polymerization inhibitor tuba4a, tubb	other	BH across all 4,686 tested PRISM compounds
